	SRR5440795.trimmed.Athaliana.bam	SRR5440804.trimmed.Athaliana.bam	SRR5440813.trimmed.Athaliana.bam	SRR5440822.trimmed.Athaliana.bam	SRR5440831.trimmed.Athaliana.bam	SRR5440840.trimmed.Athaliana.bam
AT1G04880	3	2	3	3	4	10
AT1G04890	0	0	0	0	0	0
AT1G04293	0	0	0	0	0	0
AT1G04895	0	0	0	0	0	0
AT1G04900	155	187	178	179	176	240
AT1G04297	35	41	30	28	28	52
AT1G04910	906	1133	830	599	633	854
AT1G04303	59	56	48	42	23	50
AT1G04920	36	51	48	42	41	44
AT1G04930	115	132	93	134	154	174
AT1G04945	795	955	732	1086	1115	1405
AT1G04940	597	663	537	567	507	593
AT1G04950	525	610	498	357	362	477
AT1G04960	865	969	771	565	494	852
AT1G04970	1230	1278	984	547	503	894
AT1G04980	658	796	606	763	516	876
AT1G04985	503	527	446	397	448	578
AT1G04990	539	722	577	332	297	473
AT1G05000	740	403	323	398	391	860
AT1G05005	2	0	0	0	0	1
AT1G04307	2	0	0	0	0	1
AT1G05010	15511	16110	14045	6177	5588	9021
AT1G05020	43	19	46	15	19	42
AT1G05030	261	317	265	161	147	189
AT1G04313	6	12	15	5	5	7
AT1G05035	6	21	18	7	9	6
AT1G04323	5	14	5	1	3	10
AT1G05040	1	1	2	0	0	0
AT1G05055	288	307	257	312	307	416
AT1G05060	688	742	577	309	346	561
AT1G05065	19	26	20	14	17	24
AT1G05070	344	477	363	270	272	317
AT1G05080	2	0	1	0	3	1
AT1G05085	4	16	2	2	0	6
AT1G04327	0	0	0	0	0	0
AT1G04333	0	0	0	0	0	0
AT1G05087	520	598	482	279	239	484
AT1G05090	482	510	437	299	322	448
AT1G05100	8	22	17	18	12	10
AT1G05120	645	820	569	458	390	639
AT1G05136	4	6	2	2	2	3
AT1G05140	323	353	326	286	236	292
AT1G05150	873	1128	846	624	664	940
AT1G05160	205	217	190	167	200	179
AT1G05170	450	611	455	419	373	488
AT1G04337	0	0	0	0	0	0
